intern_name,completion_time_days,feedback_rating,attendance_pct,performance_score
Intern_1,8,2.2,66,60.6
Intern_2,5,4.2,80,100.0
Intern_3,14,4.8,68,73.0
Intern_4,12,2.0,98,51.4
Intern_5,9,5.0,77,80.2
Intern_6,14,3.9,63,55.7
Intern_7,6,3.8,84,91.1
Intern_8,8,2.0,73,64.5
Intern_9,11,2.1,68,57.1
Intern_10,4,3.6,85,85.3
Intern_11,8,3.2,61,74.1
Intern_12,12,2.1,79,53.8
Intern_13,12,4.9,87,86.5
Intern_14,9,2.7,66,68.1
Intern_15,6,2.3,67,81.8
Intern_16,5,3.9,94,100.0
Intern_17,9,3.1,73,71.4
Intern_18,9,4.9,76,91.9
Intern_19,4,3.4,95,90.7
Intern_20,7,4.6,99,94.5
